"","Variable","Type","Description"
"1","X","int","Patient ID"
"2","Age","int","Age in years"
"3","Gender","int","Expressed as: 0 = males; 1 = females"
"4","RFFT","int","Performance on the Ruff Figural Fluency Test. Scores range from 0 (worst) to 175 (best)"
"5","VAT","int","Visual Association Test score. Scores may range from 0 (worst) to 12 (best)"
"6","Chol","dbl","Total cholesterol, in mmol/L."
"7","HDL","dbl","HDL cholesterol, in mmol/L.
"
"8","Statin       ","int","Statin use at enrollment. Numeric vector: 0 = No; 1 = Yes."
"9","CVD","int","History of cardiovascular event. Numeric vector: 0 = No; 1 = Yes"
"10","DM","int","Diabetes mellitus status at enrollment. Numeric vector: 0 = No; 1 = Yes"
"11","Education","int","Highest level of education. Numeric: 0 primary school; 1 = lower secondary education; 3 = university"
"12","Smoking","int","Smoking at enrollment. numeric vector: 0 = No; 1 = Yes"
"13","Hypertension","int","Status of hypertension at enrollment. Numeric vector: 0 = No; 1 = Yes"
"14","Ethnicity","int","Expressed as: 0 = Western European; 1 = African; 2 = Asian; 3 = Other"
"15","...","...","..."
